Tâm hồn và hình thức,52,Không có vua ,48,Giống như là chết ,1,Cháu trai Wittgenstein,3,Vẽ một phụ nữ,3,Hành trình tình cảm,2,Người biển lận,1,Ngợp,2,Ở nhà trọ Đức,3,Hotel Savoy,3,Le Spleen de Paris ,2,Middlemarch - Tập 2 ,6,Truyện Gil-Blas (tập 1),2,Daisy Miller & Di sản Aspern,4,Truyện con chó Berganza ,2,Vẽ một phụ nữ,2,Những người châu Âu ,2,Giáo dục châu Âu ,6,Giữa đất và nước,2,Hotel Savoy,5,Truyện Gil-Blas (tập 1),4,,,,,,,,,
Middlemarch - Tập 1,51,Soi gương,46,Le Spleen de Paris (Tái bản) ,1,Đốc tờ Héraclius Gloss,2,Tê-lê-mặc phiêu lưu ký ,2,Jacket trắng ,2,Trưởng giả học làm sang ,1,Tục ca lệ,1,Một chuyến đi ,3,Ngắn,3,Đốc tờ Héraclius Gloss,2,Lý thuyết tầng lớp nhàn rỗi,6,Truyện Gil-Blas (tập 2) ,2,Gentleman cắn thuốc phiện,4,Truyện Gil-Blas (tập 1),2,Nghĩ,2,Daisy Miller & Di sản Aspern,2,Người lính tốt,6,Ngợp,2,Người lính tốt,5,Truyện Gil-Blas (tập 2) ,4,,,,,,,,,
Ondine ,50,Ondine ,45,Bệnh tưởng ,0,Những người châu Âu ,2,Một câu chuyện từ những đụn cát ,2,Ngắn,2,Vĩnh biệt ,1,Middlemarch - Tập 1,1,Những người châu Âu ,3,"Job, tiểu thuyết về một người thuần hậu",3,Đoản luận về giáo dục,2,Tục ca lệ,4,Đốc tờ Héraclius Gloss,2,Ondine ,3,Truyện Gil-Blas (tập 2) ,2,"Job, tiểu thuyết về một người thuần hậu",2,Sa mạc tình yêu,2,Hành khúc Radetzky,6,Nghĩ,2,"Job, tiểu thuyết về một người thuần hậu",5,Giáo dục châu Âu ,4,,,,,,,,,
Một dấu hiệu của Tình yêu,50,Tâm hồn và hình thức,45,Người biển lận,0,Lịch sử (ngắn) văn chương Đức,1,Tiện bút 1,2,Không có vua ,1,Một câu chuyện từ những đụn cát ,1,Miếng da lừa ,1,Không có vua ,2,Ondine ,2,Le Spleen de Paris (Tái bản) ,2,Ba người ngự lâm pháo thủ,4,Tiệc vườn,2,Vĩnh biệt ,3,Ở nhà trọ Đức,2,Ondine ,1,Tiện bút 1,1,Tay điệp viên,6,Nghề sống,2,Đốc tờ Héraclius Gloss,4,Chuyện các bà vợ già,4,,,,,,,,,
Jacket trắng ,49,Middlemarch - Tập 1,44,Trưởng giả học làm sang ,0,Truyện Gil-Blas (tập 1),1,Ba người ngự lâm pháo thủ,2,Tê-lê-mặc phiêu lưu ký ,1,Tú tài thủy tinh cùng Rinconete và Cortadillo và Lão già ghen ở Estramadoure,1,Middlemarch - Tập 2 ,1,Tê-lê-mặc phiêu lưu ký ,2,Không có vua ,2,Giáo dục châu Âu ,2,Tiệc vườn,4,Giống như là chết ,2,Tục ca lệ,3,Một dấu hiệu của Tình yêu,2,Vĩnh biệt ,1,Truyện con chó Berganza ,1,Vĩnh biệt ,5,Tristram Shandy,2,Đoản luận về giáo dục,4,May,4,,,,,,,,,
Le Spleen de Paris ,48,Le Spleen de Paris ,44,Khách ,0,Truyện Gil-Blas (tập 2) ,1,Truyện con chó Berganza ,2,Một câu chuyện từ những đụn cát ,1,Đốc tờ Héraclius Gloss,1,Ở nhà trọ Đức,1,Tú tài thủy tinh cùng Rinconete và Cortadillo và Lão già ghen ở Estramadoure,2,Đoản luận về giáo dục,2,Đoản luận: Văn chương ,2,Jacket trắng ,4,Đoản luận: Văn chương ,2,Ba người ngự lâm pháo thủ,3,Giáo dục châu Âu ,2,Tục ca lệ,1,Le Spleen de Paris ,1,Một dấu hiệu của Tình yêu,5,Một người tên là Thứ Năm,2,Một dấu hiệu của Tình yêu,4,Một người tên là Thứ Năm,4,,,,,,,,,
Soi gương,46,Ba người ngự lâm pháo thủ,42,Ondine ,0,Một dấu hiệu của Tình yêu,1,Ở nhà trọ Đức,2,Middlemarch - Tập 1,1,Một dấu hiệu của Tình yêu,1,Giáo dục châu Âu ,1,Lịch sử (ngắn) văn chương Đức,2,Ở nhà trọ Đức,2,Cháu trai Wittgenstein,2,In illo Tempore,4,Jacket trắng ,2,Truyện con chó Berganza ,3,Cháu trai Wittgenstein,2,Tiện bút 1,1,Một dấu hiệu của Tình yêu,1,"Job, tiểu thuyết về một người thuần hậu",5,Tay điệp viên,2,Hành trình tình cảm,4,Tên mọi trên tàu Narcissus,4,,,,,,,,,
Những người châu Âu ,46,Những người châu Âu ,42,Tê-lê-mặc phiêu lưu ký ,0,Bệnh tưởng ,0,Một dấu hiệu của Tình yêu,2,Ba người ngự lâm pháo thủ,1,Soi gương,1,Bệnh tưởng ,0,Hành trình tình cảm,2,Một dấu hiệu của Tình yêu,2,Jacket trắng ,2,Chuyện các bà vợ già,4,Ba truyện đời ,2,Một dấu hiệu của Tình yêu,3,Jacket trắng ,2,Le Spleen de Paris ,1,Jacket trắng ,1,Tâm hồn và hình thức,4,Vĩnh biệt ,1,Giáo dục châu Âu ,4,Tâm hồn và hình thức,3,,,,,,,,,
Ba người ngự lâm pháo thủ,43,Truyện Gil-Blas (tập 2) ,40,Miếng da lừa ,0,Người biển lận,0,Soi gương,2,Middlemarch - Tập 2 ,1,Một chuyến đi ,1,Người biển lận,0,Jacket trắng ,2,Hành trình tình cảm,2,Ba truyện đời ,2,Truyện con chó Berganza ,3,Một câu chuyện từ những đụn cát ,1,Jacket trắng ,3,In illo Tempore,2,Đoản luận về giáo dục,1,Ngắn,1,Ba người ngự lâm pháo thủ,4,Tục ca lệ,1,Đoản luận: Văn chương ,4,Mộc thần nữ ,3,,,,,,,,,
Truyện Gil-Blas (tập 2) ,41,Ba truyện đời ,40,Truyện con chó Berganza ,0,Trưởng giả học làm sang ,0,Le Spleen de Paris (Tái bản) ,2,Soi gương,1,Những người châu Âu ,1,Trưởng giả học làm sang ,0,Daisy Miller & Di sản Aspern,2,Le Spleen de Paris (Tái bản) ,2,Daisy Miller & Di sản Aspern,2,Đoản luận về giáo dục,3,Một chuyến đi ,1,Ba truyện đời ,3,Giữa đất và nước,2,Ở nhà trọ Đức,1,Chuyện các bà vợ già,1,Lịch sử (ngắn) văn chương Đức,4,Tâm hồn và hình thức,1,In illo Tempore,4,Miếng da lừa ,3,,,,,,,,,
Lịch sử (ngắn) văn chương Đức,40,Một chuyến đi ,38,Le Spleen de Paris ,0,Khách ,0,Cháu trai Wittgenstein,2,Một chuyến đi ,1,Cháu trai Wittgenstein,1,Khách ,0,Tiện bút 1,1,Cháu trai Wittgenstein,2,Ngắn,2,Giáo dục châu Âu ,3,Những người châu Âu ,1,Giữa đất và nước,3,Le Spleen de Paris ,1,Cháu trai Wittgenstein,1,"Job, tiểu thuyết về một người thuần hậu",1,Đoản luận: Văn chương ,4,Tú tài thủy tinh cùng Rinconete và Cortadillo và Lão già ghen ở Estramadoure,1,Bão lớn,4,Lịch sử (ngắn) văn chương Đức,3,,,,,,,,,
Một chuyến đi ,40,Lịch sử (ngắn) văn chương Đức,37,Truyện Gil-Blas (tập 1),0,Tục ca lệ,0,Ba truyện đời ,2,Họa sĩ của cuộc sống hiện đại ,1,Vẽ một phụ nữ,1,Tê-lê-mặc phiêu lưu ký ,0,Truyện con chó Berganza ,1,Daisy Miller & Di sản Aspern,2,Ondine ,1,Ba truyện đời ,3,Le Spleen de Paris (Tái bản) ,1,Tê-lê-mặc phiêu lưu ký ,2,Tiệc vườn,1,Chuyện các bà vợ già,1,Bệnh tưởng ,0,Cháu trai Wittgenstein,4,Truyện Gil-Blas (tập 1),1,Gentleman cắn thuốc phiện,4,Đoản luận về giáo dục,3,,,,,,,,,
Truyện con chó Berganza ,31,Truyện con chó Berganza ,31,Truyện Gil-Blas (tập 2) ,0,Tê-lê-mặc phiêu lưu ký ,0,Bệnh tưởng ,1,Đoản luận: Văn chương ,1,Khách ,0,Tiện bút 1,0,Le Spleen de Paris ,1,Vĩnh biệt ,1,Tục ca lệ,1,Vĩnh biệt ,2,Giáo dục châu Âu ,1,Lịch sử (ngắn) văn chương Đức,2,Hành trình tình cảm,1,Giữa đất và nước,1,Người biển lận,0,Các khía cạnh của tiểu thuyết,4,Truyện Gil-Blas (tập 2) ,1,Những nỗi hoảng hốt của cậu học sinh Torless,4,Một dấu hiệu của Tình yêu,3,,,,,,,,,
Truyện Gil-Blas (tập 1),31,Truyện Gil-Blas (tập 1),30,Đốc tờ Héraclius Gloss,0,Ba người ngự lâm pháo thủ,0,Tục ca lệ,1,Daisy Miller & Di sản Aspern,1,Tục ca lệ,0,Lịch sử (ngắn) văn chương Đức,0,Truyện Gil-Blas (tập 1),1,Tiện bút 1,1,Tê-lê-mặc phiêu lưu ký ,1,Tê-lê-mặc phiêu lưu ký ,2,"Job, tiểu thuyết về một người thuần hậu",1,Truyện Gil-Blas (tập 1),2,Ba truyện đời ,1,Bão lớn,1,Trưởng giả học làm sang ,0,Washington Square,4,Hành trình tình cảm,1,Ondine ,3,Những người châu Âu ,3,,,,,,,,,
Tê-lê-mặc phiêu lưu ký ,27,Tê-lê-mặc phiêu lưu ký ,27,Một dấu hiệu của Tình yêu,0,Tú tài thủy tinh cùng Rinconete và Cortadillo và Lão già ghen ở Estramadoure,0,Lịch sử (ngắn) văn chương Đức,1,Bệnh tưởng ,0,Tê-lê-mặc phiêu lưu ký ,0,Le Spleen de Paris ,0,Truyện Gil-Blas (tập 2) ,1,Tiệc vườn,1,Truyện Gil-Blas (tập 1),1,Le Spleen de Paris ,2,Bệnh tưởng ,0,Truyện Gil-Blas (tập 2) ,2,Daisy Miller & Di sản Aspern,1,Bệnh tưởng ,0,Khách ,0,Tục ca lệ,3,Giáo dục châu Âu ,1,Ba người ngự lâm pháo thủ,3,Hành trình tình cảm,3,,,,,,,,,
Tú tài thủy tinh cùng Rinconete và Cortadillo và Lão già ghen ở Estramadoure,26,Tú tài thủy tinh cùng Rinconete và Cortadillo và Lão già ghen ở Estramadoure,25,Soi gương,0,Truyện con chó Berganza ,0,Daisy Miller & Di sản Aspern,1,Người biển lận,0,Tiện bút 1,0,Truyện Gil-Blas (tập 1),0,Một dấu hiệu của Tình yêu,1,Soi gương,1,Truyện Gil-Blas (tập 2) ,1,Hành trình tình cảm,2,Người biển lận,0,Soi gương,2,Hotel Savoy,1,Người biển lận,0,Không có vua ,0,Tú tài thủy tinh cùng Rinconete và Cortadillo và Lão già ghen ở Estramadoure,3,Hotel Savoy,1,Tú tài thủy tinh cùng Rinconete và Cortadillo và Lão già ghen ở Estramadoure,3,Jacket trắng ,3,,,,,,,,,
Bệnh tưởng ,16,Bệnh tưởng ,16,Hành trình tình cảm,0,Soi gương,0,Người biển lận,0,Trưởng giả học làm sang ,0,Ba người ngự lâm pháo thủ,0,Truyện Gil-Blas (tập 2) ,0,Giáo dục châu Âu ,1,Một chuyến đi ,1,Ở nhà trọ Đức,1,Đoản luận: Văn chương ,2,Trưởng giả học làm sang ,0,Đoản luận: Văn chương ,2,Ngắn,1,Trưởng giả học làm sang ,0,Vĩnh biệt ,0,Soi gương,3,Ba lối tới hồ,1,Lịch sử (ngắn) văn chương Đức,3,Washington Square,3,,,,,,,,,
Người biển lận,13,Người biển lận,13,Jacket trắng ,0,Một chuyến đi ,0,Trưởng giả học làm sang ,0,Khách ,0,Truyện con chó Berganza ,0,Soi gương,0,Cháu trai Wittgenstein,1,Jacket trắng ,1,Một dấu hiệu của Tình yêu,1,Một dấu hiệu của Tình yêu,1,Khách ,0,Le Spleen de Paris ,1,Người lính tốt,1,Khách ,0,Tú tài thủy tinh cùng Rinconete và Cortadillo và Lão già ghen ở Estramadoure,0,Những người châu Âu ,3,Bão lớn,1,Jacket trắng ,3,Những nỗi hoảng hốt của cậu học sinh Torless,3,,,,,,,,,
Trưởng giả học làm sang ,12,Trưởng giả học làm sang ,12,Vẽ một phụ nữ,0,Hành trình tình cảm,0,Khách ,0,Tục ca lệ,0,Le Spleen de Paris ,0,Một chuyến đi ,0,Vẽ một phụ nữ,1,In illo Tempore,1,Soi gương,1,Soi gương,1,Không có vua ,0,Những người châu Âu ,1,"Job, tiểu thuyết về một người thuần hậu",1,Không có vua ,0,Lịch sử (ngắn) văn chương Đức,0,Vẽ một phụ nữ,3,Những chuyến dạo chơi,1,Ba truyện đời ,3,Tay điệp viên,3,,,,,,,,,
Khách ,3,Khách ,3,Daisy Miller & Di sản Aspern,0,Jacket trắng ,0,Những người châu Âu ,0,Le Spleen de Paris ,0,Truyện Gil-Blas (tập 1),0,Những người châu Âu ,0,Bão lớn,1,Bệnh tưởng ,0,Một chuyến đi ,1,Một chuyến đi ,1,Vĩnh biệt ,0,Vẽ một phụ nữ,1,Bệnh tưởng ,0,Tê-lê-mặc phiêu lưu ký ,0,Truyện Gil-Blas (tập 1),0,Daisy Miller & Di sản Aspern,3,Hành khúc Radetzky,1,Sa mạc tình yêu,3,Khác thời đại,3,,,,,,,,,
,,,,,,,,,,Truyện Gil-Blas (tập 1),0,Truyện Gil-Blas (tập 2) ,0,Jacket trắng ,0,Hành khúc Radetzky,1,Người biển lận,0,Bệnh tưởng ,0,Bệnh tưởng ,0,Tục ca lệ,0,Bệnh tưởng ,0,Người biển lận,0,Mộc thần nữ ,0,Truyện Gil-Blas (tập 2) ,0,Ondine ,2,Tên mọi trên tàu Narcissus,1,Khác thời đại,3,Ondine ,2,,,,,,,,,
,,,,,,,,,,Truyện Gil-Blas (tập 2) ,0,Giống như là chết ,0,Ba truyện đời ,0,Bệnh tưởng ,0,Trưởng giả học làm sang ,0,Người biển lận,0,Người biển lận,0,Tê-lê-mặc phiêu lưu ký ,0,Người biển lận,0,Trưởng giả học làm sang ,0,Lịch sử (ngắn) văn chương Đức,0,Đốc tờ Héraclius Gloss,0,Jacket trắng ,2,Bệnh tưởng ,0,Tục ca lệ,2,Không có vua ,2,,,,,,,,,
,,,,,,,,,,Ba truyện đời ,0,Ba truyện đời ,0,Daisy Miller & Di sản Aspern,0,Người biển lận,0,Khách ,0,Trưởng giả học làm sang ,0,Trưởng giả học làm sang ,0,Ba người ngự lâm pháo thủ,0,Trưởng giả học làm sang ,0,Khách ,0,Truyện Gil-Blas (tập 1),0,Đoản luận về giáo dục,0,Bão lớn,2,Người biển lận,0,Tiện bút 1,2,Tục ca lệ,2,,,,,,,,,
,,,,,,,,,,,,,,,,Trưởng giả học làm sang ,0,Lịch sử (ngắn) văn chương Đức,0,Khách ,0,Khách ,0,Lịch sử (ngắn) văn chương Đức,0,Khách ,0,Không có vua ,0,Truyện Gil-Blas (tập 2) ,0,Ở nhà trọ Đức,0,Một chuyến đi ,1,Trưởng giả học làm sang ,0,Ngợp,2,Tú tài thủy tinh cùng Rinconete và Cortadillo và Lão già ghen ở Estramadoure,2,,,,,,,,,
,,,,,,,,,,,,,,,,Khách ,0,Le Spleen de Paris ,0,Vĩnh biệt ,0,Không có vua ,0,Đoản luận về giáo dục,0,Không có vua ,0,Vĩnh biệt ,0,Một dấu hiệu của Tình yêu,0,Soi gương,0,Chuyện các bà vợ già,1,Khách ,0,Vĩnh biệt ,1,Họa sĩ của cuộc sống hiện đại ,2,,,,,,,,,
,,,,,,,,,,,,,,,,Soi gương,0,Những người châu Âu ,0,Ba người ngự lâm pháo thủ,0,Truyện Gil-Blas (tập 1),0,Một dấu hiệu của Tình yêu,0,Một chuyến đi ,0,Tục ca lệ,0,Soi gương,0,Một chuyến đi ,0,Bệnh tưởng ,0,Không có vua ,0,Truyện con chó Berganza ,1,Ba người ngự lâm pháo thủ,1,,,,,,,,,
,,,,,,,,,,,,,,,,Ba truyện đời ,0,Ba truyện đời ,0,Lịch sử (ngắn) văn chương Đức,0,Truyện Gil-Blas (tập 2) ,0,Soi gương,0,Hành trình tình cảm,0,Tê-lê-mặc phiêu lưu ký ,0,Một chuyến đi ,0,Hành trình tình cảm,0,Người biển lận,0,Tê-lê-mặc phiêu lưu ký ,0,Le Spleen de Paris ,1,Ông cha đạo ở Wakefield,1,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lịch sử (ngắn) văn chương Đức,0,Những người châu Âu ,0,Giáo dục châu Âu ,0,Trưởng giả học làm sang ,0,Truyện con chó Berganza ,0,Soi gương,1,Bệnh tưởng ,0,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Đốc tờ Héraclius Gloss,0,Giáo dục châu Âu ,0,Ba truyện đời ,0,Khách ,0,Lịch sử (ngắn) văn chương Đức,0,Giữa đất và nước,1,Người biển lận,0,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Soi gương,0,Ba truyện đời ,0,Hotel Savoy,0,Tê-lê-mặc phiêu lưu ký ,0,Le Spleen de Paris ,0,Hành khúc Radetzky,1,Trưởng giả học làm sang ,0,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chuyện các bà vợ già,0,Daisy Miller & Di sản Aspern,0,Hành khúc Radetzky,0,Truyện Gil-Blas (tập 1),0,Một dấu hiệu của Tình yêu,0,Bệnh tưởng ,0,Khách ,0,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Truyện Gil-Blas (tập 2) ,0,Soi gương,0,Người biển lận,0,Vĩnh biệt ,0,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hành trình tình cảm,0,Một chuyến đi ,0,Trưởng giả học làm sang ,0,Truyện con chó Berganza ,0,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ba truyện đời ,0,Ba truyện đời ,0,Khách ,0,Le Spleen de Paris ,0,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ngắn,0,Không có vua ,0,Soi gương,0,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Người lính tốt,0,Một chuyến đi ,0,Một chuyến đi ,0,,,,,,,,,
